Entreprise,Ville,Département,Code postal,Nb licenciés,Date approximative
Schneider,Lattes,Hérault,34970,390,17/09/2020
CNB,Bordeaux,Gironde,33000,65,16/09/2020
Inteva,Saint-Dié-des-Vosges,Vosges,88100,241,19/09/2020
General Electric,,France ,,753,12/08/2020
Bridgestone,Béthune,Pas-de-Calais,62400,863,20/09/2020
Duralex,La Chapelle-Saint-Mesmin,Loiret,45380,248,24/09/2020
Latecoere,Labège,Haute-Garonne,31670,475,25/09/2020
SIMRA,Albert,Somme,80300,90,27/09/2020
3A,Albert,Somme,80300,562,09/07/2020
Mecafi,Châtellerault,Vienne,86100,242,25/09/2020
Servier,,France ,,287,28/09/2020
Comatelec,Saint-Florent-sur-Cher,Cher,18400,101,22/09/2020
Prafer,Woipy,Moselle,57140,43,17/09/2020
Toupargel,Civrieux d'Azergues,Rhône,69380,150,30/09/2020
Collins Aerospace,Saint-Marcel,Eure,27950,75,30/09/2020
Lisi-Creuzet,Marmande,Lot-et-Garonne,47200,197,10/01/2020
Sigfox,Labège,Haute-Garonne,31670,47,30/09/2020
Mecachrome,Vibray,Sarthe,72320,306,30/09/2020
ATR,Blagnac,Haute-Garonne,31700,186,30/09/2020
Rossignol,Sallanches,Haute-Savoie,74700,92,10/01/2020
Manitou,Ancenis-Saint-Géréon,Loire-Atlantique,44150,63,30/09/2020
Genfit,Lille,Nord,59000,80,10/01/2020
Japy,Valentigney,Doubs,25700,100,10/01/2020
sacem,,France ,,170,30/09/2020
Elior,,France,,1888,10/01/2020
Vertou,Vertou,Loire-Atlantique,44120,37,10/02/2020
Auxitrol Weston,Bourges,Cher,18000,124,10/01/2020
Airbus,,France,,5000,14/09/2020
Boiron,,France,,566,16/09/2020
Siemens,Le Havre,Normandie,76600,295,10/02/2020
Bricomarché,Niort,Deux-Sèvres,79000,10,10/02/2020
Air France,France ,,,7580,26/08/2020
Fibre excellence,Tarascon,Bouches-du-Rhône,13150,270,29/09/2020
Radio France,,France,,340,10/02/2020
Alinea,,France ,,992,14/09/2020
Verrerie d'albi,Albi,Tarn,81000,25,10/02/2020
Stelia,Méaulte,Somme,80300,290,20/09/2020
Thales,,France ,,1000,10/02/2020
Rosieres,Lunery,Cher,18400,72,07/08/2020
Auchan,,France ,,1975,09/09/2020
Top Office,Nîmes,Gard,30900,105,10/03/2020
PicWicToys,,France ,,447,06/02/2020
Nokia,,France ,,1233,22/09/2020
NextRadioTV,,France ,,245,16/09/2020
TUI France,,France ,,583,09/08/2020
ExxonMobil,,France ,,200,10/05/2020
Spherea,,France ,,90,09/11/2020
Sogeclair,,France ,,245,30/06/2020
CMT,Colomiers,Haute-Garonne,31772,140,06/02/2020
Figeac Aero,Figeac,Lot,46100,320,27/08/2020
Verallia,Châteaubernard,Charente,16100,80,10/05/2020
Cristal Union,Erstein,Bas-Rhin,67150,70,10/05/2020
Astronics PGA,Montierchaume,Indre,36130,59,10/07/2020
Blizzard,Versailles,Yvelines,78000,250,10/06/2020
Aequs,Aubigny-sur-Nère,Cher,18700,27,10/06/2020
Cargill,Haubourdin,Nord,59320,186,29/09/2020
BT2i,Colomiers,Haute-Garonne,31772,96,10/06/2020
Eolane,Montceau-les-Mines,Saône-et-Loire,71300,77,23/09/2020
PPG,Bezons,Val-d'Oise,95870,209,10/06/2020
MAEC,Cahors,Lot,46000,83,10/07/2020
Leach,Niort,Deux-Sèvres,79000,79,10/08/2020
Le Figaro,,France ,,60,10/09/2020
SKF,Avallon,Yonne,89200,30,10/09/2020
Radisson Blu,Cannes,Alpes-Maritimes,6400,56,10/08/2020
Baker Hughes,Condé-en-Normandie,Calavdos,14110,58,10/08/2020
Daher,,France ,,679,10/09/2020
Ferropem,,France ,,357,10/09/2020
Renault,Lardy,Essonne,91510,1900,10/09/2020
Hutchinson,Joué-lès-Tours,Indre-et-Loire,37300,97,10/09/2020
Saint Louis,Nassandres,Eure,27550,30,10/09/2020
Aquarese,Douvrin,Pas-de-Calais,62138,20,10/09/2020
Essilor,Allonnes,Sarthes,72700,56,10/09/2020
Distripac,Somain,Nord,59490,8,10/11/2020
Abrisud,L'isle-Jourdain,Gers,32600,9,13/10/2020
ESI Group,Aix-en-Provence,Bouches-du-Rhône,13080,9,10/12/2020
DFDS,Calais,Pas-de-Calais,62100,142,10/12/2020
RATP,Paris,Ile-de-France,75000,100,13/10/2020
PCC,Ogeu,Pyrénées-Atlantiques,64680,124,10/09/2020
Artus Meggitt,Avrillé,Maine-et-Loire,85440,23,13/10/2020
Petit Navire,Douarnenez,Finistère,29100,7,13/10/2020
Solystic,Alixan,Drôme,26300,85,14/10/2020
Serena,Angers,Maine-et-Loire,49000,13,14/10/2020
Signify,Miribel,Ain,01700,17,14/10/2020
Toray,Lacq/Abidos,Pyrénées-Atlantiques,64170,29,19/10/2020
Deshors moulage,Brive,Indre,36100,47,19/10/2020
Meubles Demeyere,Pérenchies,Nord,59840,30,17/10/2020
Camaïeu,,France,,460,17/09/2020
Chaussures André,,France,,188,28/07/2020
Lord,Pont-de-l’Isère,Drôme,26600,8,16/10/2020
